bryo_taxa_id,klasse,familie,gattung,art,autor,unterart,autor_unterart,name_de,name_en,rl2004
1089,Laubmoose,Brachytheciaceae,Cirriphyllum,piliferum,(Hedw.) Grout,,,Pinsel-Haarblattmoos,Hair-pointed Feather-moss,LC
125,Lebermoose,Cephaloziaceae,Cladopodiella,fluitans,(Nees) H.Buch,,,Hochmoor-Fusssprossmoos,Bog Notchwort,NT
127,Lebermoose,Cephaloziaceae,Cladopodiella,francisci,(Hook.) Jörg.,,,Heide-Fusssprossmoos,Holt Notchwort,VU
1886,Laubmoose,Ditrichaceae,Cleistocarpidium,palustre,(Bruch & Schimp.) Ochyra & Bedn.-Ochyra,,,Sumpf-Seitenköpfchenmoos,,VU
1099,Laubmoose,Climaciaceae,Climacium,dendroides,(Hedw.) F.Weber & D.Mohr,,,Bäumchenartiges Leitermoos,Tree-moss,LC
1100,Laubmoose,Dicranaceae,Cnestrum,alpestre,(Huebener) Mogensen,,,Gebirgs-Streifenkapselmoos,,VU
1102,Laubmoose,Dicranaceae,Cnestrum,schisti,(F.Weber & D.Mohr) I.Hagen, nom. cons.,,,Fels-Streifenkapselmoos,,VU
129,Lebermoose,Lejeuneaceae,Cololejeunea,calcarea,(Lib.) Schiffn.,,,Glattes Kalk-Lappenmoos,Rock Pouncewort,LC
132,Lebermoose,Lejeuneaceae,Cololejeunea,rossettiana,(C.Massal.) Schiffn.,,,Rossettis Kalk-Lappenmoos,,VU
2521,Laubmoose,Amblystegiaceae,Conardia,compacta,(Müll.Hal.) H.Rob.,,,Kompaktes Zopfmoos,Compact Feather-moss,VU
3290,Lebermoose,Conocephalaceae,Conocephalum,conicum,(L.) Dumort.,,,Kegelkopfmoos,,DD
2698,Lebermoose,Conocephalaceae,Conocephalum,salebrosum,Szweyk. & al.,,,Mattes Kegelkopfmoos,Snakewort,DD
1105,Laubmoose,Bartramiaceae,Conostomum,tetragonum,(Hedw.) Lindb.,,,Kegelmundmoos,Helmet-moss,NT
136,Lebermoose,Corsiniaceae,Corsinia,coriandrina,(Spreng.) Lindb.,,,Koriandermoos,,VU
3291,Laubmoose,Grimmiaceae,Coscinodon,cribrosus,(Hedw.) Spruce,,,Gewöhnliches Siebzahnmoos,,LC
1108,Laubmoose,Grimmiaceae,Coscinodon,humilis,Milde,,,Niedriges Siebzahnmoos,,DD
3293,Laubmoose,Amblystegiaceae,Cratoneuron,curvicaule,(Jur.) G.Roth,,,Krummstängeliges Starknervmoos,,DD
3297,Laubmoose,Amblystegiaceae,Cratoneuron,filicinum,(Hedw.) Spruce,,,Farnähnliches Starknervmoos,,LC
2540,Laubmoose,Pottiaceae,Crossidium,aberrans,Holz. & E.B.Bartram,,,Abweichendes Fransenmoos,,VU
1125,Laubmoose,Pottiaceae,Crossidium,squamiferum,(Viv.) Jur.,,,Schuppiges Fransenmoos,,VU
1129,Laubmoose,Cryphaeaceae,Cryphaea,heteromalla,(Hedw.) D.Mohr,,,Einseitswendiges Verstecktfruchtmoos,Lateral Cryphaea,VU
1132,Laubmoose,Hylocomiaceae,Ctenidium,molluscum,(Hedw.) Mitt.,,,Weiches Kamm-Moos,Comb-moss,LC
1137,Laubmoose,Rhabdoweisiaceae,Cynodontium,bruntonii,(Sm.) Bruch & Schimp.,,,Glattfrüchtiger Hundszahn,,NE
1140,Laubmoose,Rhabdoweisiaceae,Cynodontium,fallax,Limpr.,,,Täuschendes Hundszahnmoos,,NT
1142,Laubmoose,Rhabdoweisiaceae,Cynodontium,gracilescens,(F.Weber & D.Mohr) Schimp.,,,Zierliches Hundszahnmoos,,EN
1144,Laubmoose,Rhabdoweisiaceae,Cynodontium,polycarpon,(Hedw.) Schimp.,,,Vielfrüchtiger Hundszahn,,LC
1146,Laubmoose,Rhabdoweisiaceae,Cynodontium,strumiferum,(Hedw.) Lindb.,,,Kropftragendes Hundszahnmoos,,LC
1148,Laubmoose,Rhabdoweisiaceae,Cynodontium,tenellum,(Schimp.) Limpr.,,,Zarter Hundszahn,,VU
1150,Laubmoose,Mniaceae,Cyrtomnium,hymenophylloides,(Huebener) T.J.Kop.,,,Hautfarnähnliches Blausternmoos,,EN
3320,Laubmoose,Pottiaceae,Dialytrichia,mucronata,(Brid.) Broth.,,,Stachelspitziges Feinhaarmoos,,CR
2590,Laubmoose,Fontinalaceae,Dichelyma,falcatum,(Hedw.) Myrin,,,Sichelblättriges Klauenmoos,,VU
1161,Laubmoose,Rhabdoweisiaceae,Dichodontium,flavescens,(Dicks.) Lindb.,,,Gelbliches Paarzahnmoos,,DD
3321,Laubmoose,Rhabdoweisiaceae,Dichodontium,pellucidum,(Hedw.) Schimp.,,,Durchsichtiges Paarzahnmoos,,LC
1162,Laubmoose,Dicranaceae,Dicranella,cerviculata,(Hedw.) Schimp.,,,Kropfiges Kleingabelzahnmoos,Red-neck Forklet-moss,EN
1164,Laubmoose,Dicranaceae,Dicranella,crispa,(Hedw.) Schimp.,,,Krauses Kleingabelzahnmoos,,DD
1167,Laubmoose,Dicranaceae,Dicranella,grevilleana,(Brid.) Schimp.,,,Greville-Kleingabelzahnmoos,,EN
1169,Laubmoose,Dicranaceae,Dicranella,heteromalla,(Hedw.) Schimp.,,,Einseitswendiges Kleingabelzahnmoos,Silky Forklet-moss,LC
2542,Laubmoose,Dicranaceae,Dicranella,howei,Renauld & Cardot,,,Howes Kleingabelzahnmoos,,VU
1177,Laubmoose,Dicranaceae,Dicranella,rufescens,(Dicks.) Schimp.,,,Rötliches Kleingabelzahnmoos,Rufous Forklet-moss,VU
1179,Laubmoose,Dicranaceae,Dicranella,schreberiana,(Hedw.) Dixon,,,Schrebers Kleingabelzahnmoos,Schreber's Forklet-moss,LC
2490,Laubmoose,Dicranaceae,Dicranella,staphylina,H.Whitehouse,,,Acker-Kleingabelzahnmoos,Field Forklet-moss,LC
1182,Laubmoose,Dicranaceae,Dicranella,subulata,(Hedw.) Schimp.,,,Pfriemenblättriges Kleingabelzahnmoos,,LC
1185,Laubmoose,Dicranaceae,Dicranella,varia,(Hedw.) Schimp.,,,Rotes Kleingabelzahnmoos,Variable Forklet-moss,LC
1188,Laubmoose,Leucobryaceae,Dicranodontium,asperulum,(Mitt.) Broth.,,,Raues Bruchblattmoos,Orange Bow-moss,CR
1190,Laubmoose,Leucobryaceae,Dicranodontium,denudatum,(Brid.) E.Britton,,,Bruchblattmoos,Beaked Bow-moss,LC
1193,Laubmoose,Leucobryaceae,Dicranodontium,uncinatum,(Harv.) A.Jaeger,,,Hakiges Bruchblattmoos,Curve-leaved Bopw-moss,CR
1196,Laubmoose,Rhabdoweisiaceae,Dicranoweisia,cirrata,(Hedw.) Lindb.,,,Lockiges Gabelzahnperlmoos,Common Pincushion,LC
1198,Laubmoose,Rhabdoweisiaceae,Dicranoweisia,compacta,(Schwägr.) Schimp.,,,Dichtes Gabelzahnperlmoos,,DD
3325,Laubmoose,Rhabdoweisiaceae,Dicranoweisia,crispula,(Hedw.) Milde,,,Kräuseliges Gabelzahnperlmoos,,LC
2689,Laubmoose,Dicranaceae,Dicranum,acutifolium,(Lindb. & Arnell) C.E.O.Jensen,,,Spitzblättriges Gabelzahnmoos,,DD
1200,Laubmoose,Dicranaceae,Dicranum,bonjeanii,De Not.,,,Sumpf-Gabelzahnmoos,Crisped Fork-moss,LC
1223,Laubmoose,Dicranaceae,Dicranum,brevifolium,(Lindb.) Lindb.,,,Kurzblättriges Gabelzahnmoos,,DD
2690,Laubmoose,Dicranaceae,Dicranum,dispersum,Engelmark,,,Zerstreutes Gabelzahnmoos,,DD
3330,Laubmoose,Dicranaceae,Dicranum,elongatum,Schwägr.,,,Verlängertes Gabelzahnmoos,,LC
1208,Laubmoose,Dicranaceae,Dicranum,flagellare,Hedw.,,,Peitschen-Gabelzahnmoos,Whip Fork-moss,EN
