"order","family","genus","species","redlist"
"Orthoptera","Acrididae","Omocestus","rufipes","NT"
"Orthoptera","Acrididae","Omocestus","viridulus","LC"
"Orthoptera","Acrididae","Paracinema","tricolor bisignata","DD"
"Orthoptera","Acrididae","Podismopsis","keisti","EN"
"Orthoptera","Acrididae","Psophus","stridulus","VU"
"Orthoptera","Acrididae","Sphingonotus","caerulans","VU"
"Orthoptera","Acrididae","Stauroderus","scalaris","LC"
"Orthoptera","Acrididae","Stenobothrus","lineatus","LC"
"Orthoptera","Acrididae","Stenobothrus","nigromaculatus","VU"
"Orthoptera","Acrididae","Stenobothrus","rubicundulus","NT"
"Orthoptera","Acrididae","Stenobothrus","stigmaticus","CR"
"Orthoptera","Acrididae","Stethophyma","grossum","VU"
